first_mps,second_mps,result,time,warmstart_type,configuration
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_059.mps,UNSAT,0.013123,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_045.mps,UNSAT,0.014467,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_051.mps,UNSAT,0.013589,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_053.mps,UNSAT,0.013634,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_055.mps,UNSAT,0.013659,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,UNSAT,0.013058,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_035.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,UNSAT,0.013066,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_057.mps,UNSAT,0.013853,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_037.mps,UNSAT,0.013514,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_039.mps,UNSAT,0.0134,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_049.mps,UNSAT,0.01375,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_041.mps,UNSAT,0.013489,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_033.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net/image_9/mnist-net_9_0_043.mps,UNSAT,0.013529,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_057.mps,UNSAT,0.00644,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_041.mps,UNSAT,0.006487,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_065.mps,UNSAT,0.006387,UNSAT-UNSAT,None
/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_021.mps,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_9/mnist-net_256x2_9_0_025.mps,UNSAT,0.006524,UNSAT-UNSAT,None
