Unnamed: 0,epsilon_value,result,time,verifier,obtained_labels,network_name,image_name,mps_path
1,0.081,TIMEOUT,3600.0585491657257,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_081.mps
2,0.061,TIMEOUT,3600.045008420944,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_061.mps
3,0.101,TIMEOUT,3600.0697391033173,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_101.mps
4,0.041,TIMEOUT,3600.0400173664093,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_041.mps
5,0.121,TIMEOUT,3600.05769777298,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_121.mps
7,0.141,SAT,1904.225,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_141.mps
8,0.021,UNSAT,,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_021.mps
9,0.023,UNSAT,0.443,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_023.mps
10,0.025,UNSAT,4.154,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_025.mps
11,0.027,UNSAT,36.153,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_027.mps
12,0.029,UNSAT,228.459,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_029.mps
13,0.031,UNSAT,1185.193,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_031.mps
14,0.033,UNSAT,3547.326,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_033.mps
15,0.139,TIMEOUT,3600.060340881348,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_139.mps
16,0.035,UNSAT,2558.758,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_035.mps
17,0.037,TIMEOUT,3600.0389716625214,Symphony,,mnist-net_256x2,image_6,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_6/mnist-net_256x2_6_0_037.mps
0,0.181,TIMEOUT,3600.057563304901,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_181.mps
1,0.201,TIMEOUT,3600.062747478485,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_201.mps
2,0.161,TIMEOUT,3600.058698415756,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_161.mps
3,0.221,TIMEOUT,3600.075184583664,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_221.mps
4,0.141,TIMEOUT,3600.068238735199,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_141.mps
5,0.241,TIMEOUT,3600.0583658218384,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_241.mps
6,0.121,TIMEOUT,3600.051279306412,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_121.mps
7,0.261,TIMEOUT,3600.0609669685364,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_261.mps
8,0.101,TIMEOUT,3600.0501008033752,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_101.mps
9,0.281,TIMEOUT,3600.070467233658,Symphony,,mnist-net_256x2,image_8,/home/annelot/WARMSTART_PROJECT/baseline_symphony_21-01-2026+15_00/tmp/mnist-net_256x2/image_8/mnist-net_256x2_8_0_281.mps
